"","end_sta_no","start_sta_no","start.station.name","lat.ss","long.ss","n.trips","n.trips.ss.es","end.station.name","lat.es","long.es"
"1","1",1,"West St & Chambers St",40.71754834,-74.01322069,59662,4798,"West St & Chambers St",40.71754834,-74.01322069
"2","1",42,"E 7 St & Avenue A",40.72621788,-73.98379855,29914,217,"West St & Chambers St",40.71754834,-74.01322069
"3","1",43,"Vesey Pl & River Terrace",40.7153379,-74.01658354,29534,1743,"West St & Chambers St",40.71754834,-74.01322069
"4","1",21,"Lafayette St & E 8 St",40.7302066052995,-73.9910262823105,40848,569,"West St & Chambers St",40.71754834,-74.01322069
"5","1",6,"Christopher St & Greenwich St",40.73291553,-74.00711384,47006,5099,"West St & Chambers St",40.71754834,-74.01322069
"6","1",45,"2 Ave & E 31 St",40.74290902,-73.97706058,20883,109,"West St & Chambers St",40.71754834,-74.01322069
"7","1",32,"1 Ave & E 16 St",40.73221853,-73.98165557,28343,210,"West St & Chambers St",40.71754834,-74.01322069
"8","1",35,"W 4 St & 7 Ave S",40.73401143,-74.00293877,30709,1644,"West St & Chambers St",40.71754834,-74.01322069
"9","1",49,"W 31 St & 7 Ave",40.749156,-73.9916,31031,215,"West St & Chambers St",40.71754834,-74.01322069
"10","1",27,"W 22 St & 10 Ave",40.74691959,-74.00451887,42026,1669,"West St & Chambers St",40.71754834,-74.01322069
"11","1",40,"Cooper Square & Astor Pl",40.7295149622495,-73.990752696991,32929,256,"West St & Chambers St",40.71754834,-74.01322069
"12","1",12,"E 13 St & Avenue A",40.7296672939298,-73.9806796610355,31902,268,"West St & Chambers St",40.71754834,-74.01322069
"13","1",44,"11 Ave & W 41 St",40.76030096,-73.99884222,23958,1338,"West St & Chambers St",40.71754834,-74.01322069
"14","1",26,"Central Park West & W 72 St",40.7757937668367,-73.9762057363987,26925,80,"West St & Chambers St",40.71754834,-74.01322069
"15","1",28,"E 10 St & Avenue A",40.72740794,-73.98142006,30880,266,"West St & Chambers St",40.71754834,-74.01322069
"16","1",2,"12 Ave & W 40 St",40.76087502,-74.00277668,47773,7130,"West St & Chambers St",40.71754834,-74.01322069
"17","1",16,"Carmine St & 6 Ave",40.73038599,-74.00214988,33696,1817,"West St & Chambers St",40.71754834,-74.01322069
"18","1",4,"E 17 St & Broadway",40.73704984,-73.99009296,50749,307,"West St & Chambers St",40.71754834,-74.01322069
"19","1",3,"Pershing Square North",40.751873,-73.977706,59207,325,"West St & Chambers St",40.71754834,-74.01322069
"20","1",7,"W 21 St & 6 Ave",40.74173969,-73.99415556,47103,663,"West St & Chambers St",40.71754834,-74.01322069
"21","1",19,"Cleveland Pl & Spring St",40.722103786686,-73.997249007225,31519,668,"West St & Chambers St",40.71754834,-74.01322069
"22","1",13,"1 Ave & E 68 St",40.76500525,-73.95818491,12091,26,"West St & Chambers St",40.71754834,-74.01322069
"23","1",23,"W 41 St & 8 Ave",40.75640548,-73.9900262,30216,228,"West St & Chambers St",40.71754834,-74.01322069
"24","1",17,"W 20 St & 11 Ave",40.746745,-74.007756,49934,5361,"West St & Chambers St",40.71754834,-74.01322069
"25","1",24,"FDR Drive & E 35 St",40.744219,-73.97121214,15512,130,"West St & Chambers St",40.71754834,-74.01322069
"26","1",25,"E 33 St & 1 Ave",40.7432268143217,-73.9744978398085,22993,81,"West St & Chambers St",40.71754834,-74.01322069
"27","1",38,"MacDougal St & Prince St",40.72710258,-74.00297088,28399,1570,"West St & Chambers St",40.71754834,-74.01322069
"28","1",14,"Broadway & W 25 St",40.7428687731211,-73.9891862869263,36995,332,"West St & Chambers St",40.71754834,-74.01322069
"29","1",18,"8 Ave & W 33 St",40.751551,-73.993934,30860,462,"West St & Chambers St",40.71754834,-74.01322069
"30","1",30,"Little West St & 1 Pl",40.70569254,-74.01677685,27337,3880,"West St & Chambers St",40.71754834,-74.01322069
"31","1",11,"Pier 40 - Hudson River Park",40.7277140777778,-74.011295735836,38110,6679,"West St & Chambers St",40.71754834,-74.01322069
"32","1",15,"Central Park S & 6 Ave",40.76590936,-73.97634151,33521,90,"West St & Chambers St",40.71754834,-74.01322069
"33","1",29,"W 33 St & 7 Ave",40.75019995,-73.99093085,29471,225,"West St & Chambers St",40.71754834,-74.01322069
"34","1",5,"Broadway & W 60 St",40.76915505,-73.98191841,31087,282,"West St & Chambers St",40.71754834,-74.01322069
"35","1",10,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068,42009,913,"West St & Chambers St",40.71754834,-74.01322069
"36","1",47,"W 15 St & 7 Ave",40.73935542,-73.99931783,31740,709,"West St & Chambers St",40.71754834,-74.01322069
"37","1",50,"W 22 St & 8 Ave",40.74475148,-73.99915362,37235,839,"West St & Chambers St",40.71754834,-74.01322069
"38","1",22,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,30542,111,"West St & Chambers St",40.71754834,-74.01322069
"39","1",41,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,30718,789,"West St & Chambers St",40.71754834,-74.01322069
"40","1",39,"Central Park West & W 68 St",40.7734066,-73.97782542,21600,89,"West St & Chambers St",40.71754834,-74.01322069
"41","1",37,"6 Ave & W 33 St",40.74901271,-73.98848395,25547,183,"West St & Chambers St",40.71754834,-74.01322069
"42","1",9,"Broadway & E 14 St",40.73454567,-73.99074142,47798,325,"West St & Chambers St",40.71754834,-74.01322069
"43","1",48,"S 5 Pl & S 5 St",40.710451,-73.960876,9368,80,"West St & Chambers St",40.71754834,-74.01322069
"44","1",8,"Broadway & E 22 St",40.7403432,-73.98955109,51054,545,"West St & Chambers St",40.71754834,-74.01322069
"45","1",33,"5 Ave & E 73 St",40.77282817,-73.96685276,24547,95,"West St & Chambers St",40.71754834,-74.01322069
"46","1",36,"University Pl & E 14 St",40.73492695,-73.99200509,27102,558,"West St & Chambers St",40.71754834,-74.01322069
"47","1",46,"Washington St & Gansevoort St",40.739323,-74.008119,38370,4530,"West St & Chambers St",40.71754834,-74.01322069
"48","1",34,"Broadway & W 56 St",40.7652654,-73.98192338,17184,211,"West St & Chambers St",40.71754834,-74.01322069
"49","1",31,"W 24 St & 7 Ave",40.74487634,-73.99529885,32059,554,"West St & Chambers St",40.71754834,-74.01322069
"50","1",20,"Grand St & Elizabeth St",40.718822,-73.99596,19900,394,"West St & Chambers St",40.71754834,-74.01322069
"51","10",49,"W 31 St & 7 Ave",40.749156,-73.9916,31031,498,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068
"52","10",26,"Central Park West & W 72 St",40.7757937668367,-73.9762057363987,26925,133,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068
"53","10",27,"W 22 St & 10 Ave",40.74691959,-74.00451887,42026,1967,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068
"54","10",32,"1 Ave & E 16 St",40.73221853,-73.98165557,28343,500,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068
"55","10",37,"6 Ave & W 33 St",40.74901271,-73.98848395,25547,792,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068
"56","10",33,"5 Ave & E 73 St",40.77282817,-73.96685276,24547,121,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068
"57","10",12,"E 13 St & Avenue A",40.7296672939298,-73.9806796610355,31902,261,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068
"58","10",24,"FDR Drive & E 35 St",40.744219,-73.97121214,15512,180,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068
"59","10",42,"E 7 St & Avenue A",40.72621788,-73.98379855,29914,283,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068
"60","10",15,"Central Park S & 6 Ave",40.76590936,-73.97634151,33521,213,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068
"61","10",19,"Cleveland Pl & Spring St",40.722103786686,-73.997249007225,31519,291,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068
